text,label
metal shop welder manufacturer of metal door window and their frame,2511
retail of food product retail of food product,4721
selling of second hand good selling of second hand good,4774
manufacturing of textile clothes sewing clothes,1392
retail sale of food beveragesand tobacco product seal of food and other product,4711
tailoring shop sewing of lady clothes,1410
retail sale of food commodity food commodity,4711
retail sale of tobacco beverage and other food item selling of beverage tobacco and other food item,4711
baking bread making and selling bread,1071
retail store selling a variety of item food beverage and water and nonfood product,4711
retail store selling a variety of item foodbeverages and water and other nonfood product,4711
retail sale of water plumbing and solar equipment selling of plumbing and solar panel and other equipment,4759
upholstery making of house chair making and repair of sofa and chair,1622
sale of variety of ites such a food water beverage and nonfood product food item such a food beverage water and nonfood product,4711
crop milling shop milling and grinding of crop product,1061
retail sale of food beverage and other item selling of bread beverage and other food item,4711
making of car tyre shop for making and inflating loose tire,2211
sale of variety item such a water beverage food and nonfood item food item such a food water beverage and nonfood item etc,4711
milling of coosmillet and rice coo rice millet milling,1061
sale of fish fish,0312
clothes and textile sewing unisex clothes sewing service unisex,1410
sewing of clothes and textile for men and woman clothes and textile sewing service,1410
retail sale of building material retail service of building material,4752
retail sale of food commodity and provision sweetsdiapers attayaevaporated milk egg bread biscuit,4711
tailoring shop sewing clothes and textile,1410
retail sale of food product such a yogurt and milk product in a specialised store sale of yogurt and milk product,4721
retail sale of cosmetic selling of cream perfume shampoo etc,4772
building material nail,7010
selling building material building material,4752
printing service printing,7010
retail sale of provision food and non food product in specialised store food product non food an beverage,4711
manufacturing of textile and apparel sewing of clothes textile,1410
wholesale of good food and beverage in a nonspecialised store sale of good food and beverage,4630
manufacturing of textile and apparel sewing of clothes and textile,1410
retail sale of good food and beverage in a nonspecialised store sale of food and beverage,4711
photocopy of document photocopy of document,8219
restuarant preparing and sarving,5610
tailoring shop sewing of clothes,1410
selling automotive spare automotive,7010
retail of automotive good automotive,4730
money service send and residence,6619
spare part shop retail sale of spare part motor vehicle rental,4540
spare part shop retail sale of spare part motorcycle and generator,4530
metal scrap shop spare part of vehicle,4669
grain milling manufacture of grain mill product,1061
retail sale of mobile phone mobile phone charger screen proctor phone cover,4741
retail cement shop retail sale of building material like cement,4752
retail sale of good and other food product in store sale of oil onion suger,4711
provision shop sale of good like rice oil sugar onion sardine tinned milketc good like rice oil sugar onion sardine tinned milketc,4711
retail sale of food and beverage ricesugar milk onion cooking oil sardine,4711
retail sell of food and other food product sale of rice sugar bread onion tea soft drink,4711
retail sale of good and other food product in store good like rice oil bread and other food product,4711
retail sale of good and other food product in store sale of bread milk,4711
metal workshop manufacture of metal door window and their frame,2511
grain milling store milling of maize and mellets,1061
retail sale in non specialized store with food retail sale in non specialized store with food,4711
manufacturing of bread manufacture of bread production,1071
retail sale of pharmaceutical good sale of pain killer and other medicine,4772
clothing shop retail retail sale of clothing,4751
retail sale of food and beverage bread onion ataya cooking oil rice maggi,4711
grain milling production of flour groat and meal grain milling production of flour groat and meal,1061
sewing clothes and textile sewing clothes such a dress suit and trouser,1410
retail sale of good and other food product in store sale rice bread onion suger,4711
retail sale of fuel petrol and gas oil,4730
retail sale of good and other food product in store sale of oilpalm oil rice onion,4711
manufacture of bread manufacture of bread,1071
cafe and fast food restaurant cafe and fast food restaurant,5610
retail sale of food and beverage spaghetti rice milk candy biscuit sugar,4711
retail sale of good and other food product in store retail sale in nonspecialised store with food beverage or tobacco product,4711
retail sale of good like rice vegetable oil candiesetc and other food product in store good like rice vegetable oiletc and other food product,4711
retail sale of good like rice oil bread and other food product provision like rice vegetable oiletc sweet and candy,4711
manufacture of bread baking bread,1071
retail sale of cement complementary construction material,4752
retail sale in non specialized store retail sale in non specialized store,4711
cafeteria and other food activity restaurant and mobile food service activity,5610
manufacturing of bakery product manufacturing of bread,1071
retail sale of food and beverage rice cooking oil onion bread sardine sugar,4711
retail sale of good like rice oil sugar green tea ataya sardinesetc good like rice oil sugar green tea ataya sardinesetc,4711
retail sale of good and other food product in store sale of rice onion oil,4711
retail sale of good and other food shop retail sale in non specialised store with food beverage or tobacco product,4711
grain milling store milling of rice maize and mellets,1061
retail sale of food and beverage riceonions bread sugar biscuit soft drink,4711
manufacture of jewelry and related product manufacture of jewelry and related product,3211
sale of meal sale of meal breakfast and dinner,5610
raising of poultry poultry product,0146
grain milling store milling of rice only,1061
retail sale of good like rice vegetable oil canned beef candiesetc good like rice vegetable oil canned beef candiesetc,4711
milling machine manufacture of flour from millet and maize manufacturing flour from millet and maize,1061
retail sale of cosmetic cosmetic like body lotion sprayetc,4772
retail sale of good like vegetable oil sugar green tea ataya candiesetc good like vegetable oil sugar green tea ataya candiesetc,4711
bakery manufacturing of bread,1071
retail sale of good like vegetable oil green tea ataya sugar sardine candiesetc good like vegetable oil green tea ataya sugar sardine candiesetc,4711
retail sale of good and other food product in store ataya suger mikl bread,4711
retail sale of food and beverage sardine bread biscuit egg cooking oil and other food stuff,4711
retail sale of good and other food product in store ricesuger onion ect,4711
manufacture of metal door window and their frame manufacturing of structural metal product,2511
retail sale of pharmaceutical product pharmaceutical product,4772
retail sale of good and other food product in store good and other food product,4711
retail sale of food and beverage retail sale of food and beverage bread cooking oil candy biscuit onion,4711
beauty salon offering service like makeup braiding hair,9602
grain milling milling of grain such a rice maize and mellets,1061
production of bread bread making,1071
fuel retail sale fuel retail sale,4730
retail sale of secondhand good secondhand clothes fj,4774
retail sale of good and other food product in store and other retail sale of oil onion rice,4711
manufacturing of bread bread making,1071
threshing winnowing member rice and millet threshing and winnowing of rice and millet,1061
provision shop retail sale of provision like sugar rice oil biscuit candy sardinesetc provision like sugar rice oil biscuit candy sardinesetc,4711
cafe shop retail sale in non specialized store with food,4722
food canteen cafeteria and other food activity,5610
retail sale of good like rice vegetable oil breadetc and other food product good like rice vegetable oil breadetc and other food product,4711
retail sale of good and other food product in store sale of milk ataya suger,4711
retail sale of cosmetic like body lotion and spray cosmetic like body lotion and spray,4772
tailoring shop manufacture of cloth,1410
retail sale of good and other food product good and other food product,4711
retail sale of food and beverage rice onion juse sardine milk sugar and other food stuff,4711
retail sale of good like green tea vegetable oil sugar rice sardinesetc good like green tea vegetable oil sugar rice sardinesetc,4711
provision shop retail sale of good like milk green tea ataya sugar tinned milk oiletc good like milk green tea ataya sugar tinned milk oiletc,4711
butchery retail sale of meat and meat product,4721
grain milling production of flour groat and meal manufacture of grain mill product,1061
retail sell of cosmetic product selling of body lotion spray shoe house spray,4772
provision shop sale of good like rice sugar sardine tinned milk green tea atayaetc good like rice sugar sardine tinned milk green tea atayaetc,4711
sale of good and other food product in store retail sale in nonspecialised store with food beverage or tobacco product,4711
bakery manufacturing bread baked bread,1071
milling store milling of grain such a rice mellet and maize,1061
salonbarbers shop hairdressing and other beauty treatment,9602
garage motorcycle repairing of motorcycle,4540
provision shop sale of good like rice oil onion sardine green tea ataya sugaretc good like rice oil onion sardine green tea ataya sugaretc,4711
milling machine manufacturing flour from millet and maize manufacturing flour from millet and maize,1061
retail sale of good and other food product in store sale of bread milk tin bread and like,4711
sale of food like cooked bean omelette cooked meat bread teaetc food like cooked bean omelette cooked meat bread teaetc,5610
beauty salon cosmetic beauty salon,9602
retail sale of good and other food product in store sale of oil suger,4711
cafeteria and other food activity restaurant and other food activity,5610
provision shop retail sale of good like sugar vegetable oil tomato paste matchesetc good like sugar vegetable oil tomato paste matchesetc,4711
retail salls of sewn new cloth retail salls of new cloth,4771
manufacturering carpentry product manufacturing of furniture,3100
tailoring shop manufacturing of wearing apparel,1410
retail sale of good and other food product in store sale of suger milk tin seasoning,4711
grain milling milling of rice,1061
maintenance and repair of motorcycle and related part and accessory maintenance and repair of motorcycle and related part and accessory,4540
retail sale of good and other food product in store bread ataya suger candy,4711
retail sale of secondhand clothes selling of secondhand clothes fj,4774
bakery manufacturing bread manufactured bread,1071
retail sale of food and beverage sugar ataya candy,4711
selling of good and other food product in store onion potato bread and seasoningsjumbo,4711
fast food restaurant fast food restaurant,5610
manufacturing of wearing apparel manufacturing of wearing apparel,9529
the sewing of clothes and textile sewing clothes such a dress trouser garment,1410
retail sale of cosmetic product body lotion body spray hair treatment product,4772
retail sale of good like rice vegetable oil candiesetc and other food product in store good like rice vegetable oil candiesetc and other food product,4711
retail sale of cosmetic good sale of bady lotion shampoo,4772
retail sale of good like rice oil bread tomato pasteetc and other food product good like rice oil bread tomato pasteetc and other food product,4711
retail sale of building material retail sale of building material,4752
manufacturing of bread manufacturing of bread,1071
manufacturing of bread fresh pastry good and cake manufacturing of bread fresh pastry good and cake,1071
retail sale of good and other food product in store suger,4711
retail sale of food and beverage the selling of bread rice cooking oil biscuit and other food product,4711
retail sale of good and other food product in store sale of rice salt suger onion,4711
retail sale of food and beverage bread rice sugar sardine egg,4711
retail sale of good and other food product in store sale of bread suger ataya etc,4711
hardware shop retail sale of good like paint brush nail padlocksetc good like paint brush nail padlocksetc,4752
retail sale of good like rice vegetable oil green tea ataya sugar sardine breadetc good like rice vegetable oil green tea ataya sugar sardine breadetc,4711
retail sale of building material such a cement cement,4752
fuel shop retail sale of petrol and diesel retail sale of petrol and diesel,4730
food canteen restaurant and mobile food service activity,5610
maintenance and repair of motorcycle maintenance and repair of motorcycle,4540
tailoring workshop sewn clothes,1410
tailoring manufacture of wearing apparel like womens dress men clothingetc manufactured wearing apparel like womens dress men clothingetc,1410
provision shop retail of good like green tea ataya sugar sardine milk biscuitsetc good like green tea ataya sugar sardine milk biscuitsetc,4711
printing service printing of t shirt photo copy instant passport size photo,1811
retail sale of food and beverage biscuit sardine cooking oil rice ataya,4711
retail sale of good and other food product in store sale of rice oil milk bread etc,4711
salemaintenance and repair of motor cycle and related part sale maintenance and of motor cycle and related part and accessory,4540
retail sale of good and other food product in store sale of suger ataya milk,4711
grain milling store milling of maize and mellet,1061
selling of meal preparing of breakfastlunch and dinner,5610
manufacture of wearing apparel sewing of cloth,1410
manufacturing of bread making of bread,1071
milling grain milling,1061
bakery manufacturing bread making bread,1071
selling of meal preparing of meal breakfast lunch and dinner,5610
sale of good and other food product in store retail good and other food product,4711
manufacturing of bread bread,1071
retail sale of cosmetic product body lotion house spray role on hair wash product,4772
grain milling production of flour groat and meal manufacturing of structural metal product,1061
retail sale of good like rice oil sugar green tea ataya tinned milk onionsetc good like rice oil sugar green tea ataya tinned milk onionsetc,4711
bakery manufacturing bread manufacturing bread,1071
salls of good and food product in store retail sale in non specialized store with food,4722
maintenancing and repairing of motorcycle and related part and accessory maintenancing and repairing of motorcycle and related part and accessory,4540
retail sale of good and other food product in store rice suger candle ect,4711
retail sale of good and other food product in store sale of milk sugar and bread,4711
milling machine grain milling production of flour groat and meal,1061
retail sale of good and other food product in store sale of rice oil,4711
retail sale of good and other food product in store pampers milk ataya,4711
manufacturing of bread baking bread,1071
retail sale of vegetable oil sugar green tea ataya sardine tinned milk candiesetc good like vegetable oil sugar green tea ataya sardine tinned milk candiesetc,4711
retail sale of good like cement rod corrugated iron sheet nail paintetc good like cement rod corrugated iron sheet nail paintetc,4752
retail sale of good like rice vegetable oil sugar green tea ataya candiesetc good like rice vegetable oil sugar green tea ataya candiesetc,4711
retail sale of good and other food product in store egg juice bread,4711
tailoring workshop manufacture of wearing apparel manufactured wearing apparel,1410
retail sale of provision provision,4711
tyre repair workshop mending faulty tyre mended faulty tyre,4520
retail sale of good and other food product in store onion tomato rice,4711
retail sale of food and beverage sugar bread onion cooking oil biscuit sweet milk and other food product,4711
retail sale of food and beverage sugar cooking milk candy biscuit,4711
manufacturing bread making bread,1071
barbing salon shaving trimming customer hair shaving trimming customer hair,9602
retail sale of good and other food product in store sale of rice suger onion,4711
sale of good like green tea ataya sugar biscuit breadetc good like green tea ataya sugar biscuit breadetc,4711
document preparation and other specialised office support activity printing and photocopying office document,8219
afra shop retail sale of roast meat retail sale of roast meat,5610
repairing mobile phone repaired mobile phone,9512
manufacture of wearing apparel sewing clothes,1410
the rearing and selling of animal selling of male goat sheep and cattle,4620
provision shop retail sale of good like bulb sugar green tea tinned milk sardinesetc good like bulb sugar green tea tinned milk sardinesetc,4711
repairing of bicycle repairing of bicycle,9529
